"81A944 AUTOMATED HEALTH SYSTEMS "
Date Range :	11/14/2023 - 11/14/2024
"
"
"
"
Activity Date,Activity,Fund,Money Source,"# of Units",Unit Price,Amount
2024-09-20,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.2505,46.818866,11.73
2024-09-20,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.174,37.191198,6.47
2024-09-20,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.5248,20.025624,10.51
2024-09-20,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0605,33.415562,2.02
2024-09-20,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.1224,23.12193,2.83
2024-09-20,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.1484,28.565989,4.24
2024-09-20,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.3092,9.830851,3.04
2024-09-20,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.083,36.511696,3.03
2024-09-20,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.3755,46.818866,17.58
2024-09-20,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.2611,37.191198,9.71
2024-09-20,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,0.787,20.025624,15.76
2024-09-20,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.091,33.415562,3.04
2024-09-20,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.1834,23.12193,4.24
2024-09-06,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1401,27.542328,3.86
2024-09-06,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.2834,9.738857,2.76
2024-09-06,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0797,34.613748,2.76
2024-09-06,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.3648,43.837449,15.99
2024-09-06,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.2498,35.352025,8.83
2024-09-06,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.7442,19.269961,14.34
2024-09-06,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0871,31.683788,2.76
2024-09-06,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.1773,21.766138,3.86
2024-09-06,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.2102,27.542328,5.79
2024-09-06,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.4251,9.738857,4.14
2024-09-06,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.1193,34.613748,4.13
2024-09-06,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.5475,43.837449,24
2024-09-06,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.3742,35.352025,13.23
2024-09-06,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,1.1162,19.269961,21.51
2024-09-06,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1307,31.683788,4.14
2024-09-06,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.266,21.766138,5.79
2024-08-23,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1435,28.284827,4.06
2024-08-23,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.299,9.731607,2.91
2024-08-23,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.079,36.697974,2.9
2024-08-23,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.3645,46.201942,16.84
2024-08-23,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.2513,36.965277,9.29
2024-08-23,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.7478,20.19201,15.1
2024-08-23,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0882,33.000747,2.91
2024-08-23,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.1775,22.867913,4.06
2024-08-23,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.2157,28.284827,6.1
2024-08-23,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.447,9.731607,4.35
2024-08-23,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.1188,36.697974,4.36
2024-08-23,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.5467,46.201942,25.26
2024-08-23,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.3771,36.965277,13.94
2024-08-23,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,1.1217,20.19201,22.65
2024-08-23,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1318,33.000747,4.35
2024-08-23,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.2667,22.867913,6.1
2024-08-09,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1106,27.030551,2.99
2024-08-09,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.2244,9.491044,2.13
2024-08-09,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0621,34.476559,2.14
2024-08-09,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.2814,43.989088,12.38
2024-08-09,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.1944,35.136197,6.83
2024-08-09,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.5803,19.127259,11.1
2024-08-09,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0681,31.285383,2.13
2024-08-09,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.1385,21.580667,2.99
2024-08-09,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.1657,27.030551,4.48
2024-08-09,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.3372,9.491044,3.2
2024-08-09,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.0931,34.476559,3.21
2024-08-09,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.4219,43.989088,18.56
2024-08-09,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.2917,35.136197,10.25
2024-08-09,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,0.8705,19.127259,16.65
2024-08-09,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1023,31.285383,3.2
2024-08-09,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.2076,21.580667,4.48
2024-07-26,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1426,27.554425,3.93
2024-07-26,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.3055,9.197274,2.81
2024-07-26,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0752,37.357244,2.81
2024-07-26,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.3645,44.661006,16.28
2024-07-26,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.2533,35.457316,8.98
2024-07-26,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.7545,19.350993,14.6
2024-07-26,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0879,31.957575,2.81
2024-07-26,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.1728,22.744522,3.93
2024-07-26,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.2141,27.554425,5.9
2024-07-26,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.4577,9.197274,4.21
2024-07-26,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.1127,37.357244,4.21
2024-07-26,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.5468,44.661006,24.42
2024-07-26,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.3802,35.457316,13.48
2024-07-26,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,1.1312,19.350993,21.89
2024-07-26,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Employee PreTax,0.1317,31.957575,4.21
2024-07-26,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Employee PreTax,0.2594,22.744522,5.9
2024-07-15,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Safe Harbor Match,0.1455,27.2224,3.96
2024-07-15,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Safe Harbor Match,0.3066,9.263429,2.84
2024-07-15,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Safe Harbor Match,0.0788,35.894951,2.83
2024-07-15,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Safe Harbor Match,0.3565,46.064134,16.42
2024-07-15,CONTRIBUTION,1899 American Funds New Perspective R6,Safe Harbor Match,0.2455,36.903459,9.06
2024-07-15,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Safe Harbor Match,0.7277,20.228364,14.72
2024-07-15,CONTRIBUTION,0899 Vanguard 500 Index Fund Adm,Safe Harbor Match,0.0861,32.967729,2.84
2024-07-15,CONTRIBUTION,0757 Vanguard Small-Cap Index Fund Adm,Safe Harbor Match,0.177,22.367823,3.96
2024-07-15,CONTRIBUTION,6595 Victory Sycmr Established Value F R6,Employee PreTax,0.2186,27.2224,5.95
2024-07-15,CONTRIBUTION,3869 BrandywineGLOBAL Glbl Opp Bnd Fd IS,Employee PreTax,0.4577,9.263429,4.24
2024-07-15,CONTRIBUTION,2566 DFA U.S. Targeted Value Port Inst,Employee PreTax,0.1184,35.894951,4.25
2024-07-15,CONTRIBUTION,2323 American Funds Fundamental Invst R6,Employee PreTax,0.5347,46.064134,24.63
2024-07-15,CONTRIBUTION,1899 American Funds New Perspective R6,Employee PreTax,0.3683,36.903459,13.59
2024-07-15,CONTRIBUTION,1723 American Funds EUPAC Fund R6,Employee PreTax,1.092,20.228364,22.09
