id,date,fund,money_source,activity,units,unit_price,amount,source_type,source_id,plaid_transaction_id,plaid_account_id,transaction_hash,fuzzy_hash,enhanced_hash,hash_data,imported_at,last_updated_at,metadata,created_at,updated_at
cbe3a21d-9b92-47eb-b5f7-6467ce83952a,2025-09-22,PCY,She Roth on that thing til i IRA,Sell,-2.00000000,21.45040000,-42.89,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,5vBAQAAJ0gC6dNVJx90khk7BnDO0Mat6qDeJE,,74ad9fc,62e57312,41d55873,"{""fuzzy"":""2025-09-22|-42.89|pcy"",""primary"":""2025-09-22|-42.89|pcy|sell"",""enhanced"":""2025-09-22|-42.89|pcy|-2|""}",2025-09-29 21:46:53.232+00,2025-09-29 21:46:53.232+00,{},2025-09-29 21:46:53.462075+00,2025-09-29 21:46:53.462075+00
ce1be343-41e7-4cf1-9016-815af369f698,2025-09-24,QQQM,She Roth on that thing til i IRA,Sell,-0.00336000,246.33000000,-0.82,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,j7ZQBQQAgaU7Xyx8JYpqteAP9gVEQ7C1LZyLZ,,10a4c47,73e148cb,7e6aadf6,"{""fuzzy"":""2025-09-24|-0.82|qqqm"",""primary"":""2025-09-24|-0.82|qqqm|sell"",""enhanced"":""2025-09-24|-0.82|qqqm|-0.00336|""}",2025-09-29 21:46:50.613+00,2025-09-29 21:46:50.613+00,{},2025-09-29 21:46:50.886628+00,2025-09-29 21:46:50.886628+00
d227610d-3782-44e3-bbfe-e3a8bec356fd,2025-09-22,JEPI,She Roth on that thing til i IRA,Buy,0.14100000,56.80970000,8.01,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,QLnKZKKB6rILyn48p6R3tOz9KQL81PCzNy3X0,,c3ca661,1b6ab06b,5f4076ed,"{""fuzzy"":""2025-09-22|8.01|jepi"",""primary"":""2025-09-22|8.01|jepi|buy"",""enhanced"":""2025-09-22|8.01|jepi|0.141|""}",2025-09-29 21:46:52.819+00,2025-09-29 21:46:52.819+00,{},2025-09-29 21:46:53.057647+00,2025-09-29 21:46:53.057647+00
d66df7c1-baaf-45f1-a351-e90bcff8cafd,2025-09-22,VTI,She Roth on that thing til i IRA,Buy,1.09977000,327.78059000,360.48,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,bx07d77oaPCxybmgzaj4TJg8VZNKo1Cgp6Bpr,,34e2f2de,6e833c98,c0078d,"{""fuzzy"":""2025-09-22|360.48|vti"",""primary"":""2025-09-22|360.48|vti|buy"",""enhanced"":""2025-09-22|360.48|vti|1.09977|""}",2025-09-29 21:46:51.482+00,2025-09-29 21:46:51.482+00,{},2025-09-29 21:46:51.741123+00,2025-09-29 21:46:51.741123+00
d837da3b-4adb-49a0-a3ee-7ca9f4a0566b,2025-09-22,QQQM,She Roth on that thing til i IRA,Buy,0.21698000,246.43500000,53.47,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,ZkqxMxxyKrtkQADZ1KvqtbVxo7QemgHV04N1o,,13bfff6d,10c39089,4a670597,"{""fuzzy"":""2025-09-22|53.47|qqqm"",""primary"":""2025-09-22|53.47|qqqm|buy"",""enhanced"":""2025-09-22|53.47|qqqm|0.21698|""}",2025-09-29 21:46:53.137+00,2025-09-29 21:46:53.137+00,{},2025-09-29 21:46:53.368687+00,2025-09-29 21:46:53.368687+00
dfa036e8-5b6b-4de6-83b0-f0978e86edde,2025-09-22,SCHD,She Roth on that thing til i IRA,Buy,0.44058000,27.25960000,12.01,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,MXMqaqqPNjHYDdmpRqB9CVMaRwvgrKf58d489,,444b0ce8,327bf0a2,500094e5,"{""fuzzy"":""2025-09-22|12.01|schd"",""primary"":""2025-09-22|12.01|schd|buy"",""enhanced"":""2025-09-22|12.01|schd|0.44058|""}",2025-09-29 21:46:52.525+00,2025-09-29 21:46:52.525+00,{},2025-09-29 21:46:52.766094+00,2025-09-29 21:46:52.766094+00
e4034f32-712e-45d1-bdf9-9eafe6661fc1,2025-09-24,MJ,She Roth on that thing til i IRA,Sell,-0.05999000,32.52360000,-1.94,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,4AqkRkkNvgCjA5kwDNvKTxK8kAMY3pHJXAyXR,,30026138,4ead5656,276d828d,"{""fuzzy"":""2025-09-24|-1.94|mj"",""primary"":""2025-09-24|-1.94|mj|sell"",""enhanced"":""2025-09-24|-1.94|mj|-0.05999|""}",2025-09-29 21:46:50.834+00,2025-09-29 21:46:50.834+00,{},2025-09-29 21:46:51.109148+00,2025-09-29 21:46:51.109148+00
f02ff050-1e90-44c0-936b-b01881bf32e7,2025-09-25,VTI,She Roth on that thing til i IRA,Buy,0.05462000,323.71700000,17.68,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,LpOP4PPbXnF6ryANjgEdhkeNO6qdgKtmpokpQ,,2d95f77e,28ab1808,350d5313,"{""fuzzy"":""2025-09-25|17.68|vti"",""primary"":""2025-09-25|17.68|vti|buy"",""enhanced"":""2025-09-25|17.68|vti|0.05462|""}",2025-09-29 21:46:49.408+00,2025-09-29 21:46:49.408+00,{},2025-09-29 21:46:49.671601+00,2025-09-29 21:46:49.671601+00
f17daa3c-53c5-43d0-b759-0ef356095880,2025-09-24,JEPI,She Roth on that thing til i IRA,Sell,-0.14100000,56.90000000,-8.01,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,AbxoqooKg9FYEKo1D0mXCD43eN7QrpUb7NR7z,,134b61c0,7aa7df32,7c5b800b,"{""fuzzy"":""2025-09-24|-8.01|jepi"",""primary"":""2025-09-24|-8.01|jepi|sell"",""enhanced"":""2025-09-24|-8.01|jepi|-0.141|""}",2025-09-29 21:46:50.306+00,2025-09-29 21:46:50.306+00,{},2025-09-29 21:46:50.579871+00,2025-09-29 21:46:50.579871+00
f191285a-fd2c-4481-ac53-08df5ae68a1e,2025-09-22,IBB,She Roth on that thing til i IRA,Buy,0.01306000,142.44880000,1.86,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,pR9nvnnmEXt13b0YwP6JFVKeQOjXbAfZvePqE,,6d81b1ea,77f3178c,1c308192,"{""fuzzy"":""2025-09-22|1.86|ibb"",""primary"":""2025-09-22|1.86|ibb|buy"",""enhanced"":""2025-09-22|1.86|ibb|0.01306|""}",2025-09-29 21:46:53.045+00,2025-09-29 21:46:53.045+00,{},2025-09-29 21:46:53.279761+00,2025-09-29 21:46:53.279761+00
f882f709-24ad-4102-b64f-1cca335c1c5b,2025-09-24,SMH,She Roth on that thing til i IRA,Sell,-0.00605000,320.46160000,-1.93,plaid,ZkqxMxxyKrtkQADZ1KvqtbV1PEeQ8AHR9e3y7,yDdQZQQRwVIvabOqyEBps6gv3LNzaKU34XE4j,,37a1c1e6,79108bcc,7b7a6e04,"{""fuzzy"":""2025-09-24|-1.93|smh"",""primary"":""2025-09-24|-1.93|smh|sell"",""enhanced"":""2025-09-24|-1.93|smh|-0.00605|""}",2025-09-29 21:46:49.958+00,2025-09-29 21:46:49.958+00,{},2025-09-29 21:46:50.228665+00,2025-09-29 21:46:50.228665+00
